absorb			/ Eb5sR:b/  vt.吸收；使专心
jewel			/ 5dVu：El/  n.宝石；宝石饰物
joint			/ dVRint/  n.接头，接缝；关节
jungle			/ 5dVQNgl/  n.丛林,密林，莽丛
junior			/ 5dVu:njE/  a。年少的 n。晚辈
jury			/ 5dVuEri/  n。陪审团;评奖团
just			/ dVQst/  ad。刚才;只是；正好
justice		/ 5dVQstis/  n。正义，公正；司法
justify		/ 5dVQstifai/  vt.证明…是正当的
keen			/ ki:n/  a.热心的;激烈的
kettle			/ 5ketl/  n。水壶，水锅
knee			/ ni：/  n.膝，膝盖，膝关节
kneel			/ ni:l/  vi.跪,跪下，跪着
knot			/ nRt/  n.（绳的）结，(树的）节
label			/ 5leibl/  n.标签；标记，符号
lag			/ lAg/  vi.走得慢 n。落后
landlord		/ 5lAndlR：d/  n.地主；房东，店主
lane			/ lein/  n.(乡间）小路;跑道
lap			/ lAp/  n。膝部；一圈
largely		/ 5la:dVli/  ad.大部分；大量地
laser			/ 5leizE/  n。激光
launch			/ lR：ntF/  vt.发射，投射；发动
laundry		/ 5lR：ndri/  n。洗衣房，洗衣店
lavatory		/ 5lAvEtEri/  n。盥洗室，厕所
law			/ lR：/  n。法律,法令；法则
lawn			/ lR:n/  n.草地，草坪，草场
lawyer			/ 5lR：jE/  n。律师；法学家
lay			/ lei/  vt。置放；铺设;设置
layer			/ 5leiE/  n.层，层次;铺设者
layout			/ 5leiaut/  n.布局，安排，设计
league			/ li：g/  n.同盟,联盟；联合会
leak			/ li：k/  vi。漏；泄露 n。漏洞
lean			/ li：n/  vi。倾斜,屈身；靠
leather		/ 5leTE/  n。皮革;皮革制品
leisure		/ 5leVE/  n.空闲时间;悠闲
lens			/ lenz/  n.透镜，镜片；镜头
lessen			/ 5lesn/  vt.减少，减轻;缩小
lest			/ lest/  conj.惟恐,以免
lever			/ 5li:vE/  n。杆，杠杆；控制杆
liable			/ 5laiEbl/  a.易于…的；可能的
liberal		/ 5libErEl/  a。心胸宽大的；慷慨的
liberate		/ 5libEreit/  vt.解放；释放
liberty		/ 5libEti/  n.自由；释放；许可
librarian		/ lai5brZEriEn/  n。图书馆馆长
library		/ 5laibrEri/  n.图书馆；藏书
license		/ 5laisEns/  n.许可；执照 vt.准许
lid			/ lid/  n。盖子,盖，囊盖
likewise		/ 5laikwaiz/  ad.同样地;也，又
limb			/ lim/  n.肢，臂，翼;树枝
lime			/ laim/  n。石灰
liquor			/ 5likE/  n.酒；溶液，液剂
liver			/ 5livE/  n。肝；肝脏
loan			/ lEun/  n。贷款;暂借 vt.借出
locate			/ lEu5keit/  vt.探明，找出,查出
lodge			/ lRdV/  vi.暂住，借宿，投宿
log			/ lRg/  n。原木，木料
loop			/ lu:p/  n.圈，环，环孔
lord			/ lR：d/  n。贵族；上帝，基督
lorry			/ 5lRri/  n.运货汽车，卡车
lump			/ lQmp/  n。团，块；肿块
mad			/ mAd/  a。发疯的；恼火的
magic			/ 5mAdVik/  n.魔法，巫术；戏法
magnet			/ 5mAgnit/  n.磁铁，磁石，磁体
magnetic		/ mAg5netik/  a。磁的，有吸引力的
magnificent		/ mAg5nifisnt/  n.壮丽的；华丽的
maid			/ meid/  n.女佣，女仆；少女
maintenance		/ 5meintinEns/  n.维持，保持；维修
manual			/ 5mAnjuEl/  a.体力的 n。手册
manufacture		/ mAnju5fAktFE/  vt。制造 n.制造；产品
manufacturer		/ mAnju5fAktFErE/  n。制造商；制造厂
march			/ ma：tF/  vi。行军；游行示威
margin			/ 5ma:dVin/  n.页边的空白;边缘
marine			/ mE5ri:n/  a.海的;海上的
mark			/ ma:k/  n.斑点；记号 vt.标明
marriage		/ 5mAridV/  n.结婚,婚姻；婚礼
marvelous		/ 5ma:vilEs/  a.奇迹般的；了不起的
Marxist		/ 5ma：ksist/  a.马克思主义的
mask			/ ma:sk/  n.面具；伪装 vt。掩饰
mass			/ mAs/  n.众多;团；群众
mat			/ mAt/  n。席子；草席;垫子
match			/ mAtF/  n.比赛,竞赛；对手
match			/ mAtF/  n。(一根)火柴
mate			/ meit/  n。伙伴,同事；配偶
mathematical		/ mAWi5mAtikEl/  a。数学的，数学上的
mathematics		/ mAWi5mAtiks/  n.数学
mayor			/ 5mZE/  n.市长
mean			/ mi:n/  vt.作…解释;意指
mean			/ mi:n/  a.自私的;吝啬的
mean			/ mi：n/  a.平均的 n.平均值
means			/ mi：nz/  n.方法，手段,工具
meantime		/ 5mi：n5taim/  n。其时，其间 ad.当时
meanwhile		/ 5mi：n5wail/  ad。同时，当时
measurement		/ 5meVEmEnt/  n。衡量，测量;尺寸
mechanic		/ mi5kAnik/  n。技工，机械,机修工
mechanical		/ mi5kAnikEl/  a.机械的;力学的
mechanics		/ mi5kAniks/  n.力学；技术性细节
medicine		/ 5medisin/  n。内服药；医学
medium			/ 5mi：djEm/  n.媒质；中间a.中等的
melt			/ melt/  vi.融化 vt。使融化
memorial		/ mi5mR:riEl/  a。纪念的;记忆的
memory			/ 5memEri/  n.记忆；回忆；存储
menu			/ 5menju：/  n。菜单；饭菜，菜肴
merchant		/ 5mE：tFEnt/  n。商人；零售商
mercury		/ 5mE：kjuri/  n.水银，汞
Mercury		/ 5mE：kjuri/  n.水星
mercy			/ 5mE:si/  n。仁慈，慈悲，恩惠
mere			/ miE/  a.仅仅的；纯粹的
merely			/ 5miEli/  ad。仅仅，只不过
merit			/ 5merit/  n。长处,优点；功过
meter			/ 5mi：tE/  n。计量器，计，表
metric			/ 5metrik/  a。公制的，米制的
microscope		/ 5maikrEskEup/  n.显微镜
might			/ mait/  n.力量,威力，能力
mild			/ maild/  a.和缓的;温柔的
mile			/ mail/  n.英里
military		/ 5militEri/  a。军事的；军人的
mill			/ mil/  n.磨坊；制造厂
millimetre		/ 5milimi:tE/  n.毫米
minimum		/ 5minimEm/  n.最小量 a。最小的
minister		/ 5ministE/  n。部长，大臣；公使
ministry		/ 5ministri/  n.(政府的)部
minor			/ 5mainE/  a.较小的；较次要的
minority		/ mai5nRriti/  n.少数;少数民族
minus			/ 5mainEs/  a。负的 prep.减(去)
minute			/ 5minit, mai5nju：t/  a。微细的；详细的
miracle		/ 5mirEkl/  n。奇迹，令人惊奇的人
miserable		/ 5mizErEbl/  a。痛苦的，悲惨的
mislead		/ mis5li:d/  vt。使误入岐途
miss			/ mis/  vt。未看到；惦念
missile		/ 5misail/  n.发射物；导弹
missing		/ 5misiN/  a。缺掉的，失去的
mist			/ mist/  n.薄雾
mix			/ miks/  vt。使混合，混淆
mixture		/ 5mikstFE/  n.混合；混合物
mobile			/ 5mEubail/  a。运动的；流动的
mode			/ mEud/  n。方式，样式
moderate		/ 5mRdErit/  a。温和的；有节制的
modern			/ 5mRdEn/  a。现代的，近代的
modest			/ 5mRdist/  a。有节制的；谦虚的
modify			/ 5mRdifai/  vt.更改,修改；修饰
moist			/ mRist/  a.湿润的；多雨的
moisture		/ 5mRistFE/  n.潮湿,湿气；温度
molecule		/ 5mRlikju:l/  n.分子，克分子
monitor		/ 5mRnitE/  n.班长；监视器
monument		/ 5mRnjumEnt/  n。纪念碑；纪念馆
mood			/ mu:d/  n。心情,情绪;语气
moral			/ 5mRrEl/  a.道德的;合乎道德的
mosquito		/ mEs5ki：tEu/  n。蚊子
motion			/ 5mEuFEn/  n。运动;手势；提议
motivate		/ 5mEutiveit/  vt。促动；激励,激发
motive			/ 5mEutiv/  n。动机，目的
mould			/ mEuld/  n.模子，模型 vt.浇铸
mount			/ maunt/  vt。登上，爬上 n。…山
mountain		/ 5mauntin/  n.山，山岳；山脉
mouse			/ maus/  n。鼠,耗子
mud			/ mQd/  n.软泥，泥浆
multiple		/ 5mQltipl/  a。复合的;并联的
multiply		/ 5mQltiplai/  vt。使增加；乘
murder			/ 5mE：dE/  n。&vi.谋杀，凶杀
muscle			/ 5mQsl/  n.肌肉，肌；体力
musical		/ 5mju：zikEl/  a。音乐的；和谐的
musician		/ mju:5ziFEn/  n.音乐家；作曲家
mutual			/ 5mju:tjuEl/  a。相互的;共同的
mysterious		/ mis5tiEriEs/  a。神秘的；难以理解的
mystery		/ 5mistEri/  n.神秘；神秘的事物
naked			/ 5neikid/  a.裸体的;无遮敝的
namely			/ 5neimli/  ad。即,也就是
naval			/ 5neivEl/  n.海军的，军舰的
navigation		/ nAvi5geiFEn/  n。航行;航海术；导航
neat			/ ni：t/  a。整洁的；熟练的
necessarily		/ 5nesisErili/  ad。必然，必定
necessity		/ ni5sesiti/  n。必要性；必然性
needle			/ 5ni：dl/  n。针,缝补,编织针
negative		/ 5negEtiv/  a.否定的;消极的
neglect		/ ni5glekt/  vt。忽视,忽略；疏忽
Negro			/ 5ni：grEu/  n.黑人
neighbour		/ 5neibE/  n。邻居，邻国，邻人
neighbourhood		/ 5neibEhud/  n.邻居关系；邻近
nephew			/ 5nevju:/  n.侄子，外甥
nerve			/ nE:v/  n.神经；勇敢,胆量
nervous		/ 5nE:vEs/  a。神经的；易激动的
nest			/ nest/  n。巢，窝，穴
net			/ net/  n。网,网状物；通信网
network		/ 5netwE：k/  n。网状物;网络
neutral		/ 5nju：trEl/  a。中立的；中性的
niece			/ ni：s/  n。侄女，外甥女
nitrogen		/ 5naitridVEn/  n。氮
noble			/ 5nEubl/  a.贵族的;高尚的
nonsense		/ 5nRnsEns/  n.胡说，废话
nuclear		/ 5nju:kliE/  a。原子核的；核心的
nucleus		/ 5nju:kliEs/  n。核,核心；（原子）核
nuisance		/ 5nju：sns/  n.讨厌的东西
nursery		/ 5nE：sEri/  n。托儿所；苗圃
nut			/ nQt/  n。坚果，干果；螺母
nylon			/ 5nailEn/  n。尼龙,耐纶
object			/ 5RbdVikt Eb5dVekt/  vi。反对；抱反感
objection		/ Eb5dVekFEn/  n.反对,异议;不喜欢
objective		/ Rb5dVektiv/  a.客观的；无偏见的
oblige			/ E5blaidV/  vt.迫使；施恩惠于
observation		/ RbzE:5veiFEn/  n。注意；观察；观察力
observe		/ Eb5zE:v/  vt。遵守；看到；说
observer		/ Eb5zE:vE/  n。观察员，观测者
obstacle		/ 5RbstEkl/  n.障碍，障碍物，妨害
occupation		/ Rkju5peiFEnl/  n。占领，占据;职业
occurrence		/ E5kQrEns/  n.发生,出现；事件
offend			/ E5fend/  vt。冒犯 vi.犯过错
omit			/ Eu5mit/  vt.省略,省去；遗漏
opera			/ 5RpErE/  n.歌剧
operate		/ 5RpEreit/  vi.操作；施行手术
operation		/ RpE5reiFEn/  n。操作；手术;运算
operational		/ RpE5reiFEnl/  a。操作上的;可使用的
operator		/ 5RpEreitE/  n。操作人员，接线员
opponent		/ E5pEunEnt/  n。对手，敌手；对抗者
opportunity		/ RpE5tju:niti/  n。机会，良机
oppose			/ E5pEuz/  vt.反对；反抗
opposite		/ 5RpEzit/  a.对面的 n.对立物
optical		/ 5RptikEl/  a.眼的；光学的
optimistic		/ Rptimistik/  a.乐观的；乐观主义的
optional		/ 5RpFEnl/  a.可以任意选择的
orchestra		/ 5R:kistrE/  n.管弦乐队
orderly		/ 5R:dEli/  a.整洁的；有秩序的
ore			/ R：/  n。矿，矿石，矿砂
organism		/ 5R:gEnizEm/  n。生物体；有机体
organization		/ R：gEnai5zeiFEn/  n.组织；团体,机构
origin			/ 5RridVin/  n。起源，由来；出身
original		/ E5ridVEnEl/  a。最初的；新颖的
ounce			/ auns/  n.盎司，英两
outlet			/ 5aut—let/  n。出口，出路；排遣
outset			/ 5aut—set/  n。开始，开端
outward		/ 5autwEd/  a.外面的；向外的
oven			/ 5Qvn/  n.炉，灶；烘箱
overtake		/ EuvE5teik/  vt。追上,赶上;压倒
owe			/ Eu/  vt.欠；应把…归功于
owl			/ aul/  n.猫头鹰,枭
ownership		/ 5EunEFip/  n.所有（权)，所有制
ox			/ Rks/  n。牛；公牛,阉牛
pace			/ peis/  n。步,步速 vi.踱步
pacific		/ pE5sifik/  a。和平的 n.太平洋
pack			/ pAk/  vt。捆扎；挤满 n.包
packet			/ 5pAkit/  n.小包（裹)，小捆
pad			/ pAd/  n.垫；本子 vt。填塞
pain			/ pein/  n.痛,疼痛；辛苦
palace			/ 5pAlis/  n。宫，宫殿
pale			/ peil/  a.苍白的；浅的
palm			/ pa：m/  n。手掌，手心；掌状物
pan			/ pAn/  n。平底锅，盘子
panel			/ 5pAnl/  n.专门小组;面，板
parade			/ pE5reid/  n。游行；检阅 vi。游行
parallel		/ 5pArElel/  a。平行的；相同的
parcel			/ 5pa:sl/  n.包裹，小包，邮包
parliament		/ 5pa：lEmEnt/  n。议会，国会
particle		/ 5pa:tikl/  n.粒子，微粒
paste			/ peist/  n。糊，酱;浆湖
patch			/ pAtF/  n.补钉；碎片 vt。补缀
pattern		/ 5pAtEn/  n.型，式样，模，模型
pause			/ pR：z/  n。&vi.中止，暂停
paw			/ pR:/  n.脚爪,爪子
penetrate		/ 5penitreit/  vt.穿过 vi。穿入
perceive		/ pE5si:v/  vt.察觉，发觉；理解
permanent		/ 5pE:mEnEnt/  a。永久的，持久的
permission		/ pE（:)5miFEn/  n.允许，许可，同意
permit			/ pE:5mit, 5pE：mit/  vt。允许 n。执照
persist		/ pE:5sist/  vi。坚持，固执；持续
personnel		/ pE：sE5nel/  n.全体人员，全体职员
perspective		/ pE:5spektiv/  n。透视;远景；观点
persuade		/ pE:5sweid/  vt.说服 vi.被说服
pessimistic		/ pesi5mistik/  a。悲观的；厌世的
petroleum		/ pi5trEuljEm/  n。石油
phase			/ feiz/  n。阶段;方面；相位
phenomenon		/ fi5nRminEn/  n。现象
philosopher		/ fi5lRsEfE/  n.哲学家
philosophy		/ fi5lRsEfi/  n。哲学；哲理；人生观
physician		/ fi5ziFEn/  n.医生，内科医生
physicist		/ 5fizisist/  n。物理学家
pick			/ pik/  n.镐，鹤嘴锄
pierce			/ piEs/  vt.剌穿 vi。穿入
pigeon			/ pidVin/  n。鸽子
pile			/ pail/  n。堆 vt.堆叠，累积
pill			/ pil/  n.药丸，丸剂
pillar			/ 5pilE/  n.柱，柱子；栋梁
pillow			/ 5pilEu/  n.枕头
pilot			/ 5pailEt/  n.领航员;飞行员
pinch			/ pintF/  vt。捏,拧，掐掉
pine			/ pain/  n.松树，松木
pink			/ piNk/  n.粉红色 a.粉红色的
pint			/ paint/  n.品脱
pioneer		/ paiE5niE/  n.拓荒者；先驱者
pit			/ pit/  n.坑，地坑；煤矿
pitch			/ pitF/  n.沥青
pitch			/ pitF/  vt.投，掷 vi.投掷
plantation		/ plAn5teiFEn/  n.种植园；栽植
plastic		/ 5plAstik/  a。可塑的 n。塑料
pleasant		/ 5pleznt/  a.令人愉快的，舒适的
pleasure		/ 5pleVE/  n.愉快，快乐;乐事
plentiful		/ 5plentiful/  a。丰富的，富裕的
plenty			/ 5plenti/  n.丰富，充足，大量
plot			/ plRt/  n.小块土地 vt。密谋
plough			/ plau/  n。犁 vt。&vi。犁，耕
plug			/ plQg/  n.塞子；插头 vt。塞
plunge			/ plQndV/  vt。使投入；使陷入
plural			/ 5pluErEl/  a。复数的 n.复数
plus			/ plQs/  prep.加，加上 a。正的
pocket			/ 5pRkit/  n。衣袋 n.袖珍的
poem			/ 5pEuim/  n.诗，韵文，诗体文
poet			/ pEuit/  n。诗人
poetry			/ 5pEuitri/  n.诗，诗歌，诗作
point			/ pRint/  n。点；要点；细目；分
poison			/ 5pRizn/  n。毒,毒药 vt。毒害
poisonous		/ 5pRiznEs/  a.有毒的，有害的
pole			/ pEul/  n.杆，柱
pole			/ pEul/  n.极（点),磁极，电极
polish			/ 5pRliF/  vt.磨光；使优美
polite			/ pE5lait/  a.有礼貌的；有教养的
politician		/ pRli5tiFEn/  n.政治家;政客
politics		/ 5pRlitiks/  n。政治，政治学；政纲
pollute		/ pE5lju:t/  vt。弄脏，污染，沾污
pollution		/ pE5lu:FEn/  n。污染
pond			/ pRnd/  n.池塘
pool			/ pu：l/  n.水塘,游泳池，水池
pork			/ pR:k/  n.猪肉
port			/ pR：t/  n.港，港口
portable		/ 5pR:tEbl/  a.轻便的；手提的
porter			/ 5pR:tE/  n.搬运工人
portion		/ 5pR：FEn/  n.一部分；一分
portrait		/ 5pR：trit/  n.消像,画像
position		/ pE5ziFEn/  n.位置;职位；姿势
positive		/ 5pRzEtiv/  a.确定的；积极的
possess		/ 5pE5zes/  vt.占用，拥有（财产)
possession		/ pE5zeFEn/  n.有，所有;占有物
possibility		/ pRsE5biliti/  n.可能；可能的事
post			/ pEust/  n。柱，桩，杆 vt。贴出
post			/ pEust/  n。邮政，邮寄；邮件
post			/ pEust/  n.岗位，哨所；职位
postage		/ 5pEustidV/  n.邮费，邮资
postpone		/ pEust5pEun/  vt。延迟，推迟，延缓
potential		/ pE5tenFEl/  a.潜在的 n。潜力
pound			/ paund/  vt.捣碎；舂烂；猛击
pour			/ pR：/  vt。灌，倒 vi.倾泻
poverty		/ 5pRvEti/  n。贫穷，贫困
powder			/ 5paudE/  n。粉末;药粉；火药
practically		/ 5prAktikEli/  ad。实际上;几乎
praise			/ preiz/  n.赞扬，赞美 vi.赞扬
pray			/ prei/  vt。＆vi.请求；祈祷
precaution		/ pri5kR:FEn/  n.预防；警惕
preceding		/ pri（：)5si:diN/  a。在前的；在先的
precious		/ 5preFEs/  a.珍贵的，宝贵的
precise		/ pri5sais/  a.精确的，准确的
precision		/ pri5siVEn/  n。精确,精密,精密度
predict		/ pri5dikt/  v。预言，预告，预测
preface		/ 5prefis/  n.序言，前言，引语
preferable		/ 5prefErEbl/  a.更可取的，更好的
preference		/ 5prefErEns/  n.偏爱，优先；优先权
prejudice		/ 5predVudis/  n。偏见，成见
preliminary		/ pri5liminEri/  a。预备的，初步的
preparation		/ prepE5reiFEn/  n.准备,预备；制备
prepare		/ pri5pZE/  vt.&vi。准备，预备
preposition		/ prepE5ziFEn/  n.前置词，介词
prescribe		/ pris5kraib/  vt.命令；处（方）
presence		/ 5prezns/  n.出席，到场；在
present		/ 5preznt/  a.现在的 n。目前
present		/ 5preznt/  vt。赠送； 介绍； 提出
present		/ 5preznt/  n.礼物，赠送物
presently		/ 5prezEntli/  ad.一会儿；目前
preserve		/ pri5zE:v/  vt。保护；保存；腌渍
president		/ 5prezidEnt/  n。总统；校长；会长
pressure		/ 5preFE/  n。压力；压力；压,按
pretty			/ 5priti/  a。漂亮的，标致的
prevail		/ pri5veil/  vi.胜，优胜;流行
previous		/ 5pri：vjEs/  a.先的；前的 ad。在前
primarily		/ 5praimErili/  ad.首先；主要地
primary		/ 5praimEri/  a.最初的；基本的
prime			/ praim/  a。首要的 n。春，青春
primitive		/ 5primitiv/  a.原始的；粗糙的
prince			/ 5prins/  n。王子，亲王
princess		/ prin5ses/  n.公主，王妃
principal		/ 5prinsEpEl/  a.主要的 n。负责人
principle		/ 5prinsEpl/  n。原则，原理；主义
print			/ print/  vt.印刷 n。印刷；正片
prior			/ 5praiE/  a.在先的；优先的
prison			/ 5prizn/  n.监狱,监禁
prisoner		/ 5priznE/  n。囚犯
private		/ 5praivit/  a.私人的;私下的
privilege		/ 5privilidV/  n。特权，优惠
procedure		/ prE5si:dVE/  n.程序；手续;过程
proceed		/ prE5si：d/  vi.进行；继续进行
process		/ 5prEuses/  n.过程；工序 vt。加工
procession		/ prE5seFEn/  n.队伍，行列
product		/ 5prRdEkt/  n。产品，产物；(乘)积
production		/ prE5dQkFEn/  n。生产;产品;总产量
profession		/ prE5feFEn/  n.职业
professional		/ prE5feFEnl/  a.职业的 n。专业人员
profit			/ 5prRfit/  n。益处;利润 vi.得益
progressive		/ prE5gresiv/  a.进步的;向前进的
prohibit		/ prE5hibit/  vt.禁止，阻止
prominent		/ 5prRminEnt/  a。实起的；突出的
promote		/ prE5mEut/  vt。促进，发扬；提升
prompt			/ prRmpt/  a。及时的 vt。敦促
pronoun		/ 5prEunaun/  n。代名词
pronounce		/ prE5nauns/  vt。发…的音；宣布
pronunciation		/ prEnQnsi5eiFEn/  n。发音,发音法
proof			/ pru：f/  n。证据；证明；校样
proper			/ 5prRpE/  a。适合的;合乎体统的
property		/ 5prRpEti/  n.财产，资产；性质
proportion		/ prE5pR:FEn/  n。比，比率，部分
proportional		/ prE5pR：FEnl/  a.比例的;相称的
proposal		/ prE5pEuzEl/  n。提议，建议；求婚
propose		/ prE5pEuz/  vt.提议 vi。求婚
prospect		/ 5prRspekt, prEs5pekt/  n。展望；前景，前程
prosperity		/ prRs5periti/  n。繁荣；昌盛，兴旺
prosperous		/ 5prRspErEs/  a.繁荣的，昌盛的
protein		/ 5prEuti：n/  n.蛋白质，朊
protest		/ prE5test, 5prEutest/  vt。&vi。&n.抗议
provided		/ prE5vaidid/  conj.以…为条件
provision		/ prE5viVEn/  n.供应;预备；存粮
publication		/ pQbli5keiFEn/  n。公布；出版;出版物
publish		/ 5pQbliF/  vt.公布；发表；出版
pulse			/ pQls/  n.脉搏；脉冲，脉动
punch			/ pQntF/  vt.冲出 n.冲压机
punch			/ pQntF/  vt。用拳猛击 n。拳打
punctual		/ 5pQNktjuEl/  a。严守时刻的;准时的
pupil			/ 5pju:pl/  n.瞳孔
purchase		/ 5pE：tFEs/  n.买，购买 vt.买
pure			/ pjuE/  a。纯粹的;纯洁的
purple			/ 5pE：pl/  n.紫色 a.紫的
purse			/ pE：s/  n。钱包,小钱袋，手袋
pursue			/ pE5sju：/  vt。追赶,追踪；进行
qualify		/ 5kwRlifai/  vt。使具有资格
queue			/ kju:/  n。行列 vi。排队等候
quit			/ kwit/  vt。离开，退出;停止
quotation		/ kwEu5teiFEn/  n.引用;引文；报价单
quote			/ kwEut/  vt。引用，引证；报价
rabbit			/ 5rAbit/  n.兔子，野兔
racial			/ 5reiFEl/  a。种族的，人种的
rack			/ rAk/  n.搁物架；行李架
rack			/ rAk/  vt。使苦痛,折磨
radioactive		/ reidiEu5Aktiv/  a.放射性的
radius			/ 5reidjEs/  n.半径
rag			/ rAg/  n.破布，碎布，抹布
rail			/ reil/  n。横条,横杆；铁轨
rainbow		/ 5reinbEu/  n.虹，彩虹
range			/ reindV/  n。排，行;山脉；范围
rank			/ rANk/  n.排，横行；社会阶层
rare			/ rZE/  a。稀薄的;稀有的
rarely			/ 5rZEli/  ad。很少，难得
ratio			/ 5reiFiEu/  n.比，比率
rational		/ 5rAFEnl/  a.理性的；出于理性的
raw			/ rR:/  a。未煮过的；未加工的
react			/ ri5Akt/  vi.起反应;有影响
reaction		/ ri5AkFEn/  n.反应；反作用
realm			/ 5relm/  n。王国，国土；领域
rear			/ riE/  n.后部，后面;背面
rear			/ riE/  vt。抚养，培养；栽种
rebel			/ 5rebEl， ri5bel/  vi。造反 n.造反者
receipt		/ ri5si：t/  n。收到；收条，收据
reception		/ ri5sepFEn/  a。接待；招待会；接受
recognition		/ rekEg5niFEn/  n。认出，识别；承认
recommend		/ rekE5mend/  vt。推荐，介绍；劝告
recommendation		/ rekEmen5deiFEn/  n。推荐，介绍；劝告
record			/ 5rekR:d, ri5kR:d/  n。记录；履历 vt.记录
recover		/ ri5kQvE/  vt.重新获得;挽回
recovery		/ ri5kQvEri/  n。重获；痊愈，恢复
reference		/ 5refErEns/  n.参考;出处；提及
refine			/ ri5fain/  vt。&vi。精炼，提纯
reflect		/ ri5flekt/  vt。反射;反映；思考
reflection		/ ri5flekFEn/  n。反射；映象；反映
reflexion		/ ri5flekFEn/  n。反射；映象；反映
reform			/ ri5fR:m/  vt。＆n。改革,改良
refresh		/ ri5freF/  vt。使清新vi。恢复精神
refrigerator		/ ri5fridVEreitE/  n。冰箱，冷藏库
refusal		/ ri5fju：zEl/  n.拒绝
regarding		/ ri5ga:diN/  prep。关于
regardless		/ ri5ga：dlis/  ad。不顾一切地
region			/ 5ri:dVEn/  n.地区，地带；领域
register		/ 5redVistE/  n.＆vt。登记,注册
regret			/ ri5gret/  vt。懊悔;抱歉 n.懊悔
regular		/ 5regjulE/  a.规则的；整齐的
regulate		/ 5regjuleit/  vt.管理，控制;调整
regulation		/ regju5leiFEn/  n.规则，规章；管理
reinforce		/ ri:in5fR：s/  vt。增援，支援；加强
reject			/ ri5dVekt/  vt。拒绝;丢掉；驳回
relate			/ ri5leit/  vt.叙述；使联系
relativity		/ relE5tiviti/  n.相关性；相对性
release		/ ri5li:s/  vt。释放；放松；发表
relevant		/ 5relivEnt/  a.有关的，贴切的
reliability		/ rilaiE5biliti/  n.可靠性
reliable		/ ri5laiEbl/  a.可靠的，可信赖的
relief			/ ri5li：f/  n。减轻；救济；援救
relieve		/ ri5li：v/  vt.减轻，解除；救济
religion		/ ri5lidVEn/  n.宗教；宗教信仰
religious		/ ri5lidVEs/  a.宗教的;虔诚的
reluctant		/ ri5lQktEnt/  a.不愿的,勉强的
rely			/ ri5lai/  vi.依赖,依靠；信赖
remain			/ ri5mein/  vi.剩下，余留;保持
remark			/ ri5ma：k/  vt.＆vi.&n.评论，谈论
remarkable		/ ri5ma:kEbl/  a。异常的，非凡的
remedy			/ 5remidi/  n。＆vt.治疗;补救
remind			/ ri5maind/  vt.提醒，使想起
remote			/ ri5mEut/  a。相隔很远的；冷淡的
removal		/ ri5mu：vEl/  n.移动；迁移；除掉
render			/ 5rendE/  vt.表示，给予；使得
renew			/ ri5nju:/  vt。使更新 vi。更新
rent			/ rent/  n。租金,租 vi.出租
repeatedly		/ ri5pi:tidli/  ad.重复地；一再
repetition		/ repi5tiFEn/  n.重复,反复
represent		/ repri5zent/  vt.描绘;代表；象征
representative		/ repri5zentEtiv/  a。代表性的 n.代表
reproduce		/ ri:prE5dju:s/  vt。＆vi.繁殖，生殖
reputation		/ repju（:)5teiFEn/  n。名誉,名声；好名声
request		/ ri5kwest/  n.&v.请求,要求
rescue			/ 5reskju：/  vt.＆n。援救，营救
resemble		/ ri5zembl/  vt。像，类似
reserve		/ ri5zE:v/  vt。储备，保留；预定
reservior		/ /  n。水库；蓄水池
residence		/ 5rezidEns/  n。居住；驻扎；住处
resident		/ 5rezidEnt/  a.居住的 n.居民
resign			/ ri5zain/  vt.放弃 vi。辞职
resist			/ ri5zist/  vt.&vi.抵抗，抵制
resistance		/ ri5zistEns/  n.抵抗；抵制；抵抗力
resistant		/ ri5zistEnt/  a。抵抗的，反抗的
resolution		/ rezE5lju:FEn/  n。坚决，坚定；决定
resolve		/ ri5zRlv/  vt。解决;决心 n。决心
resort			/ ri5zR:t/  vi。＆n.求助，凭借
resource		/ ri5sR:s/  n。资源，物力；办法
respective		/ ris5pektiv/  各自的，各个的
respectively		/ ris5pektivli/  ad.各自地，分别地
respond		/ ris5pRnd/  vi.作答；响应
response		/ ris5pRns/  n.作答，回答；响应
responsibility		/ rispRnsE5biliti/  n.责任，责任心；职责
responsible		/ ris5pRnsEbl/  a.有责任的；尽责的
restaurant		/ 5restErRnt/  n。餐馆，饭店,菜馆
restless		/ 5restlis/  a。不安定的，焦虑的
restore		/ ris5tR:/  vt。恢复；归还；修补
restrain		/ ris5trein/  vt.抑制，遏制；限制
restraint		/ ris5treint/  n.抑制;遏制;克制
restrict		/ ris5trikt/  vt限制，限定,约束
resume			/ ri5zju：m/  vt。恢复；重新开始
retain			/ ri5tein/  vt。保持，保留,保有
retreat		/ ri5tri:t/  vi.（被迫)退却,后退
reveal			/ ri5vi：l/  vt.展现；揭示，揭露
reverse		/ ri5vE:s/  vt。颠倒，翻转 n。背面
review			/ ri5vju：/  vt。再检查 n.复习
revise			/ ri5vaiz/  vt.修订,校订；修改
revolt			/ ri5vEult/  vi。＆n。反抗,造反
revolution		/ revE5lu：FEn/  n。革命；旋转,绕转
revolutionary		/ revE5lu:FEnEri/  a.革命的 n.革命者
reward			/ ri5wR：d/  n。报答;报酬 vt.报答
rhythm			/ 5riTEm/  n。韵律，格律；节奏
rib			/ rib/  n.肋，肋骨
ribbon			/ 5ribEn/  n.缎带，丝带；带
